FBgn_ID,Gene_Symbol,Summary
FBgn0028734,Fmr1,"Fmr1 (Fmr1) encodes an RNA and channel binding protein. It acts as a neural growth brake regulating RNA trafficking, RNA translation and neuronal excitability. Fmr1 loss causes Fragile X syndrome."
FBgn0053208,Mical,"Molecule interacting with CasL (Mical) encodes a multi-domain flavoprotein monooxygenase (Redox) enzyme. It is activated by actin filaments, and then oxidizes actin on methionines 44 and 47, disassembling the actin filaments and inhibiting actin polymerization. This regulates cell morphology in the nervous system and muscle, working with the the receptor encoded by PlexA and cofilin, encoded by tsr."
FBgn0040078,pont,"pontin (pont) encodes a member of the AAA+ (ATPases Associated with various cellular Activities) family. It is found in different complexes involved in transcriptional regulation, chromatin remodelling, DNA repair or ribonucleoprotein assembly, and participates in the control of cell proliferation and survival."
FBgn0037810,sle,slender lobes (sle) encodes a component of the nucleolus. sle depletion alters the aggregation of nucleolar components and results in retardation of proliferation of Kenyon cells.
FBgn0015396,jumu,"jumeau (jumu) encodes a multi-functional transcription factor that acts upstream of a Polo-kinase dependent pathway in one report. Its roles include asymmetric protein localization, chromatin modification, dendrite formation and organ (eye, wing and bristle) development."
FBgn0020379,Rfx,Rfx (Rfx) encodes a transcription factor involved in the differentiation of ciliated sensory neurons.
FBgn0037802,Sirt6,Sirtuin 6 (Sirt6) encodes an NAD-dependent histone deacetylase in the class IV of the Sirtuin family. It is involved in chromatin silencing and determination of adult lifespan.
FBgn0025879,Timp,"Tissue inhibitor of metalloproteases (Timp) encodes a member of a family of proteins that are able to block access to the catalytic domain of matrix metalloproteinases, thus regulating extracellular matrix remodelling."
FBgn0037815,Rrp46,Rrp46 (Rrp46) encodes a protein involved in gene expression regulation.
FBgn0024957,Irp-1B,Iron regulatory protein 1B (Irp-1B) encodes a cytosolic aconitase highly homologous to the product of Irp-1A.
FBgn0037831,Cap-H2,Chromosome associated protein H2 (Cap-H2) encodes a condensin protein involved in chromatin organization and chromosome segregation.
FBgn0017577,Mcm5,Minichromosome maintenance 5 (Mcm5) encodes a protein that is involved in mitotic DNA replication and is required to resolve meiotic double-strand breaks into crossovers.
FBgn0037848,Tsp86D,"Tetraspanin 86D (Tsp86D) encodes a member of the tetraspanin superfamily. With two other tetraspanins, encoded by Tsp3A and Tsp26A, it regulates the trafficking of the product of kuz and consequently Notch signaling and several Notch-dependent developmental processes."
FBgn0011768,Fdh,"Formaldehyde dehydrogenase (Fdh) encodes a medium-chain alcohol dehydrogenase. This enzyme also functions as S-nitrosoglutathione reductase during the nitric oxide metabolism, contributing to visual memory."
FBgn0037856,Leash,"Leash (Leash) encodes a member of the arrestin domain-containing protein family, which functions as an adaptor molecule for protein degradation. It inhibits growth by inducing degradation of the product of yki via the lysosomal pathway."
FBgn0037852,Tpc1,"Thiamine pyrophosphate carrier protein 1 (Tpc1) encodes an important protein for mitochondrial metabolism located at the inner mitochondrial membrane. Its main role is to import thiamine pyrophosphate (ThPP) into mitochondria. ThPP is an essential coenzyme for the E1 components of pyruvate dehydrogenase and oxoglutarate dehydrogenase, which are located in the mitochondrial matrix."
FBgn0037874,Tctp,Translationally controlled tumor protein (Tctp) encodes a protein that belongs to the TCTP family. It interacts with the GTPase encoded by Rheb to regulate organ growth. It is required for DNA damage response and genome stability.
FBgn0037891,Dlst,"Dihydrolipoamide S-succinyltransferase (Dlst) encodes the E2 subunit of mitochondrial alpha-ketoacid dehydrogenease complexes that catalyzes the transfer of an acetyl group via a lipoamide cofactor to CoA. Dlst is a component of the mitochondrial oxoglutarate dehydrogenase complex that catalyzes the oxidative decarboxylation of 2-oxoglutarate to succinyl-CoA, NADH and CO2 in the fourth step of the tricarboxylic acid (TCA) cycle. It is also part of the mitochondrial oxoadipidate dehydrogenase complex that catalyzes the oxidative decarboxylation of 2-oxoadipate to glutaryl-CoA in the final step of lysine and tryptophan catabolism."
FBgn0037884,Arfip,Arfaptin (Arfip) a protein that functions to tether the dynactin complex to the Golgi membrane in motor neurons. This function is required for normal synaptic growth during larval development.
FBgn0037881,GCC88,"GRIP and coiled-coil domain containing 88 kDa (GCC88) encodes a member of the Golgin family. It associates with Arl1, an Arf-like GTPase and Rab GTPases. It localizes to the trans-Golgi where it may be involved in vesicle-mediated transport or maintaining Golgi architecture."
FBgn0037875,ZnT86D,Zinc transporter 86D (ZnT86D) encodes a transporter involved in zinc detoxification.
FBgn0037873,SdhC,"Succinate dehydrogenase, subunit C (SdhC) encodes a membrane-anchoring subunit of the mitochondrial succinate dehydrogenase complex, also known as respiratory chain complex II. This complex catalyzes the sixth step of the of the tricarboxylic acid (TCA) cycle by oxidizing succinate to fumarate and also transfers electrons to quinones as part of the electron transport chain."
FBgn0040251,Ugt302K1,UDP-glycosyltransferase family 302 member K1 (Ugt302K1) encodes a UDP-glucosyltransferase.
FBgn0011774,Irbp,"Inverted repeat-binding protein (Irbp) encodes a protein that, together with the product of Ku80, forms part of the Ku protein complex, which is involved in double-strand break repair via non-homologous end joining and telomere maintenance."
FBgn0037906,PGRP-LB,"Peptidoglycan recognition protein LB (PGRP-LB) encodes a secreted protein with an amidase activity that scavenges DAP-type peptidoglycan, a cell wall component found on Gram-negative bacteria and certain Gram positive bacteria. It negatively regulates the immune deficiency pathway."
FBgn0051374,sals,sarcomere length short (sals) encodes an actin binding protein that promotes sarcomeric actin filament elongation from pointed ends during muscle growth.
FBgn0037917,wkd,whacked (wkd) encodes a RabGAP that catalyzes the GTPase activity of its Rab-GTP partners. Its essential substrate appears to be the product of Rab35. wkd mutations are associated with seamless tube defects in the tracheal system.
FBgn0037933,Ho,Heme oxygenase (Ho) encodes a heme oxygenase involved in heme metabolism.
FBgn0002906,Blm,"Bloom syndrome helicase (Blm) encodes a protein that plays important roles in repairing replication fork damage and double-strand breaks. It promotes repair through non-crossover mechanisms, though it also has roles in meiotic recombination."
FBgn0037937,Fer3,48 related 3 (Fer3) encodes a basic helix-loop-helix (bHLH) transcription factor expressed in the ventral nerve cord.
FBgn0011290,Taf12,"TBP-associated factor 12 (Taf12) encodes a protein that forms part of the multisubunit basal transcription factor TFIID, and it is important for its stability. It forms a histone-like pair with Taf4. Taf12 is also an integral component of the Drosophila SAGA histone acetyltransferase complex."
FBgn0051363,Jupiter,Jupiter (Jupiter) encodes a microtubule-associated protein. Jupiter-labeled microtubules move through the nurse cell-oocyte ring canals in stage 9 egg chambers.
FBgn0037950,HisCl1,Histamine-gated chloride channel subunit 1 (HisCl1) encodes an ion transmembrane transport complex subunit that contributes to thermotaxis and chloride transport.
FBgn0003312,sad,"shadow (sad) encodes a cytochrome P450 involved in ecdysteroid biosynthesis. It shows a mitochondrial localization and catalyzes the addition of a hydroxyl group to the 2 carbon of the cholesterol ring. sad mutants fail to undergo head involution, dorsal closure or to secrete cuticle."
FBgn0013276,Hsp70Ab,Heat-shock-protein-70Ab (Hsp70Ab) encodes a protein involved in response to heat shock and hypoxia.
FBgn0000147,aurA,"aurora A (aurA) encodes a protein kinase required for proper neuroblast self-renewal by regulating assymmetric protein localization. It contributes to spindle orientation, centrosome separation and pole cell formation."
FBgn0013275,Hsp70Aa,Heat-shock-protein-70Aa (Hsp70Aa) encodes a protein involved in response to heat shock and hypoxia.
FBgn0037960,mthl5,methuselah-like 5 (mthl5) encodes a G protein-coupled receptor involved in heart morphogenesis.
FBgn0051116,ClC-a,Chloride channel-a (ClC-a) encodes a plasma membrane chloride channel expressed in the stellate cells of Malpighian tubules. It is involved in transepithelial transport of ions and water.
FBgn0017581,Lk6,"Lk6 kinase (Lk6) encodes the single ortholog of MAPK signal integrating kinases, which are phosphorylated and activated by ERK. Lk6 product phosphorylates the protein encoded by eIF4E1 to influence translation initiation via formation of the eIF4F complex."
FBgn0037981,Spt3,Spt3 (Spt3) encodes a encodes a subunit of the SAGA chromatin modifying complex.
FBgn0037989,ATP8B,ATPase 8B (ATP8B) encodes a phospholipid flippase involved in olfaction.
FBgn0010044,GstD8,Glutathione S transferase D8 (GstD8) encodes an enzyme with broad substrate specificity involved in glutathione metabolism.
FBgn0082831,pps,protein partner of snf (pps) encodes a protein that is part of the machinery required for sex-specific splicing of the Sxl and tra pre-mRNAs.
FBgn0029512,Aos1,Activator of SUMO 1 (Aos1) encodes one of two subunits (along with the product of Uba2) of the heterodimeric SUMO activating enzyme.
FBgn0038016,MBD-R2,MBD-R2 (MBD-R2) encodes a Zinc finger C2H2 transcription factor. It is a component of nonspecific lethal (NSL) complex involved in transcriptional activation.
FBgn0051354,Hsp70Bbb,Hsp70Bbb (Hsp70Bbb) encodes a protein involved in response to heat shock and hypoxia.
FBgn0013278,Hsp70Bb,Heat-shock-protein-70Bb (Hsp70Bb) encodes a protein involved in response to hypoxia heat shock and .
FBgn0013279,Hsp70Bc,"Heat-shock-protein-70Bc (Hsp70Bc) encodes a protein involved in response to heat shock, hypoxia and drugs."
FBgn0038065,Snx3,Sorting nexin 3 (Snx3) encodes a protein involved in the secretion of the morphogen encoded by wg. It regulates the retromer-dependent recycling of the transmembrane cargo encoded by wls.
FBgn0038074,Gnmt,Glycine N-methyltransferase (Gnmt) encodes an enzyme that catalyzes the methylation reaction of glycine to generate sarcosine (N-methylglycine).  It is abundantly expressed in the fat body and controls the amount of methyl donor S-adenosylmethionine.
FBgn0011745,Arp1,"Actin-related protein 1 (Arp1) encodes the short filamentous component of the Dynactin complex, which plays an essential role in the activation of the Dynein microtubule motor protein. As such, the Arp1 product is required for diverse cellular processes such as intracellular transport, mitotic spindle assembly, chromosome movements, and nuclear positioning."
FBgn0016693,Past1,"Putative Achaete Scute Target 1 (Past1) encodes a protein that associates predominantly with the plasma membrane and genetically interacts with N. It contributes to endocytosis, male sterility, temperature sensitivity, life span and differentiation of photoreceptors R1/R6/R7 and cone cells."
FBgn0002719,Men,"Malic enzyme (Men) encodes a dehydrogenase that catalyzes the oxidation of malate to pyruvate, with the concomitant reduction of NADP[+] to NADPH. It functions, along with the products of Idh, G6pd, and Pgd, in a small network of NADP reducing enzymes."
FBgn0002905,PolQ,"DNA polymerase theta (PolQ) encodes DNA polymerase theta, a dual-domain protein with helicase-like and translesion polymerase domains. It contributes to repair/tolerance of DNA interstrand crosslinks and alternative-end joining repair of DNA double-strand breaks."
FBgn0005355,Su(fu),Suppressor of fused (Su(fu)) encodes a negative regulator of the Hedgehog signaling pathway. It forms a complex with the transcription factor encoded by ci to inhibit its activity.
FBgn0001296,kar,karmoisin (kar) encodes a protein involved in ommochrome biosynthesis.
FBgn0026207,mbo,members only (mbo) encodes a nucleoporin involved in immune response transduction by mediating the nuclear translocation of the product of Mad.
FBgn0013277,Hsp70Ba,Heat-shock-protein-70Ba (Hsp70Ba) encodes a protein involved in response to heat shock and hypoxia.
FBgn0001217,Hsc70-2,Heat shock protein cognate 2 (Hsc70-2) encodes a member of the heat shock protein 70 family. It functions as chaperone protein in facilitating the proper folding of proteins.
FBgn0038118,timeout,timeout (timeout) encodes a role in the maintenance of chromosome integrity and in the light synchronization of the adult circadian clock
FBgn0003450,snk,snake (snk) encodes a secreted serine protease. It is a member of the protease cascade that generates the ligand that activates the receptor encoded by Tl. It contributes to establishment of the dorsal-ventral embryonic axis.
FBgn0040493,grsm,"granny smith (grsm) encodes a member of the M17 family of leucine aminopeptidases, a family of proteases broadly involved in a number of cellular processes. High throughput transcriptomic and proteomic analyses have implicated the product of grsm in the regulation of immune-, nervous- and immune-related processes."
FBgn0003598,Su(var)3-7,Suppressor of variegation 3-7 (Su(var)3-7) encodes a protein associated with heterochromatin. Increasing the amount of the product of Su(var)3-7 triggers heterochromatin expansion and epigenetic gene silencing.
FBgn0038140,PK2-R1,"Pyrokinin 2 receptor 1 (PK2-R1) encodes a G protein-coupled receptor that binds the neuropeptide encoded by Hug with high affinity. After binding, a second messenger cascade is initiated in cells that are target for the product of Hug (mainly neurons of the central nervous system)."
FBgn0027610,Dic1,"Dicarboxylate carrier 1 (Dic1) encodes a protein of the inner mitochondrial membrane that catalyzes an electroneutral exchange across the inner mitochondrial membrane of dicarboxylates (e.g. malonate, malate, succinate) for inorganic phosphate and certain sulfur-containing compounds (e.g. sulfite, sulfate, thiosulfate). The main role of the product of is in gluconeogenesis. The carrier protein has also an anaplerotic role supplying substrates for the Krebs cycle."
FBgn0000024,Ace,"Acetylcholine esterase (Ace) encodes an enzyme that catalyzes the hydrolysis of the neurotransmitter acetylcholine to acetate and choline, thus resetting the neurotransmission mechanism at neuromuscular junctions."
FBgn0038126,CG8483,CG8483 encodes a predicted secreted protein with a SCP/V5/TPX domain found in venom proteins. CG8483 overexpression causes variable levels of lethality suggesting excess protein may have toxic effects.
FBgn0004049,yrt,"yurt (yrt) encodes a membrane-associated protein. It contributes to apical-basal polarity and permeability of septate junctions. In differentiating epithelial cells, it counteracts apical polarity proteins to sustain lateral membrane stability and apical-basal polarity. In fully differentiated cells, the product of yrt acts as a negative regulatory component of the crb complex and limits apical membrane growth."
FBgn0015778,rin,rasputin (rin) encodes an RNA-binding protein that regulates gene expression. It is involved in eye development and the dorsal/ventral axis specification of the ovary.
FBgn0038167,Lkb1,"Lkb1 kinase (Lkb1) encodes a serine/threonine kinase that plays a master role for activating the AMP-dependent protein kinase (AMPK) family kinases. It is a well-characterized tumor suppressor and regulates processes like cell polarity, metabolism, apoptosis, and cell growth."
FBgn0024555,flfl,falafel (flfl) encodes the regulatory 3 subunit of protein phosphatase 4 (PP4). It targets PP4 to the centromere to regulate kinetochore integrity in mitosis. It is also a key mediator for the localization of the product of mira and associated cell fate determinants during cell cycle.
FBgn0038180,Cht5,Chitinase 5 (Cht5) encodes an enzyme involved in the formation of chitin-based extracellular matrix at barrier tissues.
FBgn0000454,Dip-B,Dipeptidase B (Dip-B) encodes a peptidase involved in protein metabolism.
FBgn0038172,Adgf-D,Adenosine deaminase-related growth factor D (Adgf-D) encodes an adenosine deaminase involved in cell proliferation.
FBgn0038165,Task6,TWIK-related acid-sensitive K[+] channel 6 (Task6) encodes an ion channel involved in the transmembrane transport of potassium.
FBgn0004237,Hrb87F,"Heterogeneous nuclear ribonucleoprotein at 87F (Hrb87F) encodes a hnRNP-A family RNA-binding protein, involved in gene expression and RNA processing. It is an essential component of the nucleoplasmic omega speckles and necessary for telomere maintenance. Hrb87F null mutants show defects in development, female fertility and stress tolerance."
FBgn0010258,Rbp4,RNA-binding protein 4 (Rbp4) encodes a protein that mediates the translational repression of CycB during meiosis in males.
FBgn0000576,ems,"empty spiracles (ems) encodes a homeotic selector gene that encodes a transcription factor involved in spiracle morphogenesis, axogenesis, and development of the ventral nerve cord, brain and tracheal system."
FBgn0016672,Ipp,Inositol polyphosphate 1-phosphatase (Ipp) encodes a protein involved in synaptic transmission and inositol metabolism regulation.
FBgn0015270,Orc2,"Origin recognition complex subunit 2 (Orc2) encodes a subunit of the origin recognition complex (ORC), which is essential for the initiation of DNA replication in eukaryotic cells. The product of Orc2 can be phosphorylated by CK2 and Cdks in vivo and in vitro."
FBgn0038203,Or88a,Odorant receptor 88a (Or88a) encodes a multi-transmembrane chemoreceptor that mediates response to volatile chemicals.
FBgn0038206,twf,twinfilin (twf) encodes a ubiquitously expressed actin monomer binding protein that is structurally related to the product of tsr and inhibits actin filament assembly. It is highly conserved and is present in all eukaryotes except plants. Its roles include bristle and neuronal development.
FBgn0020510,Abi,"Abelson interacting protein (Abi) encodes a protein that interacts with the non-receptor tyrosine kinase encoded by Abl. It contributes to the regulation of actin cytoskeleton organization. It is involved in multiple actin dependent processes including cell adhesion, cell morphogenesis, oogenesis, muscle attachment and axogenesis."
FBgn0013767,Crz,"Corazonin (Crz) encodes a neuropeptide expressed in specific groups of neurons. It functions as a neurohormone and neuromodulator, which involves a G-protein-coupled receptor. Its roles include ethanol and trehalose metabolism, and male reproductive activity."
FBgn0011474,Set8,SET domain containing 8 (Set8) encodes the histone methyltransferase that controls lysine20 monomethylation of the product of His4. This histone mark is essential for normal progression through the cell cycle.
FBgn0003480,spn-B,spindle B (spn-B) encodes a member of the recA family. It is involved in double strand break repair in mitosis and meiosis.
FBgn0003567,su(Hw),"suppressor of Hairy wing (su(Hw)) encodes a zinc finger transcription factor that can function both as insulator protein and as transcriptional repressor, depending on the genomic context and motif sequence that it binds to. It is known to associate with Cp190 and mod(mdg4) to form an insulator complex, but the composition of the repressive su(Hw) complex is not known."
FBgn0020299,stumps,"stumps (stumps) encodes a fibroblast growth factor (FGF) scaffolding protein. Upon FGF receptor activation, it mediates the recruitment of the phosphatase encoded by csw, which is essential for the activation of the MAPK pathway."
FBgn0038247,Cad88C,"Cadherin 88C (Cad88C) encodes a member of the cadherin superfamily of transmembrane proteins, which mediate cell-cell adhesion and/or cell-cell communication."
FBgn0038251,Hexim,"Hexamethylene bisacetamide inducible (Hexim) encodes an RNA binding protein. When associated with snRNA:7SKa, it recruits and inhibits the positive transcription elongation factor encoded by Cdk9. Regulated release and re-sequestration of the product of Cdk9 by the snRNA:7SKa snRNP plays an essential role in RNA polymerase II elongation control."
FBgn0038252,BigH1,Histone H1 variant BigH1 (BigH1) encodes a germline linker histone H1 variant that is retained in the early embryo until cellularization. It is required for gametogenesis and to maintain silencing of the zygotic genome during early embryogenesis.
FBgn0003169,put,punt (put) encodes a transforming growth factor beta type II receptor that functions in both Dpp/BMP and Activin signaling. Pathway specificity in signaling output is determined by which type I receptor (Dpp/BMP or Activin one) is engaged in the complex with the product of put.
FBgn0038279,Sdr,Secreted decoy of InR (Sdr) encodes a secreted protein that shows extensive sequence similarity to the extracellular domain of the product of InR. It physically binds to insulin-like peptides and thereby modulates the insulin/IGF signaling pathway.
FBgn0028662,VhaPPA1-1,Vacuolar H[+] ATPase PPA1 subunit 1 (VhaPPA1-1) encodes a protein involved in tracheal terminal branching.
FBgn0038269,Rrp6,Rrp6 (Rrp6) encodes an exoribonuclease that forms part of the RNA processing exosome complex. It is involved in the regulation of cell cycle progresion and mRNA surveillance.
FBgn0038257,smp-30,"Senescence marker protein-30 (smp-30) encodes a calcium binding protein involved in calcium homeostasis regulation. It negatively influences cell proliferation and tissue size, possibly through the insulin pathway. It contributes to body size variation, diapause and thermal stress resistance."
FBgn0011217,eff,"effete (eff) encodes a conserved class I E2 ubiquitin-conjugating enzyme that contributes to the protein ubiquitination and degradation pathway. The roles of the product of eff include female germline stem cell maintenance, eye development, apoptosis regulation and chromatin organization."
FBgn0038281,RpL10Aa,"Ribosomal protein L10Aa (RpL10Aa) encodes a component of the large ribosomal subunit. It is likely a retrogene derived from RpL10Ab and, unlike RpL10Ab, the expression of RpL10Aa is low in most tissues/developmental stages but enriched in the adult testis."
FBgn0038294,Mf,"Myofilin (Mf) encodes a structural protein of muscular thick filaments, which may be needed for filament assembly. Alternative splicing of the gene, controlled by the product of salm, produces isoforms of varying size in thoracic muscles."
FBgn0038300,Mau2,"Mau2 sister chromatid cohesion factor (Mau2) encodes a protein that interacts with the product of Nipped-B to form the kollerin complex, which loads the cohesin complex onto chromosomes. The product of Mau2 and cohesin participate in transcriptional regulation and DNA repair."
FBgn0014879,Set,"Set (Set) encodes a subunit of the inhibitor of histone acetyltransferase (INHAT) complex, which controls histone acetylation. It is involved in transcriptional regulation, which ultimately controls different processes such as p53-mediated apoptosis and neuronal development."
FBgn0026441,ear,"ENL/AF9-related (ear) encodes a transcription factor that is a component of the super elongation complex (SEC), which regulates transcription by RNA Polymerase II. It also interacts with the histone methyltransferase encoded by gpp in the Dot1 complex (DotCom), which modifies chromatin structure by methylating histone H3 on lysine 79."
FBgn0000533,ea,easter (ea) encodes a secreted serine protease that upon activation by the product of snk cleaves the ligand of the Toll pathway encoded by spz during early embryonic development. This ea role is restricted to the dorso-ventral patterning of the embryo.
FBgn0038320,Cyfip,Cytoplasmic FMR1 interacting protein (Cyfip) encodes an essential protein that is a component of the WAVE actin nucleator complex. It controls actin cytoskeleton remodeling and interacts with the products of Fmr1 and Rac1. It controls morphogenesis and synapse organization.
FBgn0021750,SerRS-m,"Seryl-tRNA synthetase, mitochondrial (SerRS-m) encodes an enzyme that catalyses the aminoacylation of tRNAser with serine, to be used for gene translation during protein synthesis."
FBgn0038327,Trax,"Translin associated factor X (Trax) encodes a protein that, together with the product of trsn, forms the trsn/Trax complex, a ribonuclease that facilitates RNA-induced silencing complex (RISC) activation and has been implicated in many different processes, including starvation-induced sleep suppression."
FBgn0038331,Ccm3,"Cerebral cavernous malformation 3 (Ccm3) encodes a small scaffolding protein that forms dimers with the product of GckIII. In the tracheal system, it is required specifically in terminal cells, and its loss is associated with tube dilation."
FBgn0041188,Atx2,"Ataxin-2 (Atx2) encodes the ortholog of human gene ATXN2, which is implicated in spinocerebellar ataxia 2. It contributes to eye development, circadian behaviour, and microRNA function."
FBgn0038325,Atg4b,"Autophagy-related 4b (Atg4b) encodes a cysteine protease that cleaves the precursor product of Atg8a at the C-terminal region, thereby initiating autophagosome formation."
FBgn0038321,Nagk,"N-acetylglucosamine kinase (Nagk) encodes a putative enzyme that is predicted to catalyze the phosphorylation of N-acetyl-D-glucosamine to N-acetyl-D-glucosamine 6-phosphate, and thus may be involved in N-acetyl-D-glucosamine metabolism."
FBgn0013269,Fkbp39,FK506-binding protein 39kD (Fkbp39) encodes a protein thay acts as an inhibitor of autophagy in larval fat body.
FBgn0027378,MRG15,MORF-related gene 15 (MRG15) encodes a protein that contributes to histone acetylation. It is involved in chromatin organization and chromosome separation.
FBgn0000283,Cp190,"Centrosomal protein 190kD (Cp190) encodes a BTB-ZnF transcription factor that has both nuclear and centrosomal functions. It's an insulator protein required to form physical and regulatory boundaries in the genome, and is recruited by DNA-binding proteins such as CTCF, su(Hw) and others, with which it physically associates."
FBgn0019940,Rh6,Rhodopsin 6 (Rh6) encodes a visual GPCR opsin that covalently binds the chromophore retinal. A photon of light stimulates the isomerization of retinal resulting in a conformational change in the product of Rh6 and signal activation. Its peak sensitivity is in the green and it is expressed in a subclass of R8 photoreceptors.
FBgn0038344,obe,obelus (obe) encodes a Ski2-family helicase that regulates alternative mRNA splicing of crb. It is required for cell polarity and adherens junction organization.
FBgn0053207,pxb,"pxb (pxb) encodes a protein involved in response to ethanol, long-term memory and regulation of hemocyte proliferation."
FBgn0026616,alpha-Man-IIb,"alpha-Mannosidase class II b (alpha-Man-IIb) encodes a transmembrane enzyme that catalyzes the removal of alpha-1,2-linked and alpha-1,6-linked mannoses from protein N-linked glycan Man(9)GlcNAc(2) and Man(5)GlcNAc(2) to produce Man(8)GlcNAc(2) and Man(3-4)GlcNAc(2), respectively. It is involved in the processing of protein N-glycans in the Golgi apparatus."
FBgn0003227,rec,recombination-defective (rec) interacts with other Mini-Chromosome Maintenance (MCM)-related proteins (encoded by mei-217 and mei-218) to make meiotic crossovers.
FBgn0000246,c(3)G,"crossover suppressor on 3 of Gowen (c(3)G) encodes the transerve filament protein of the synaptonemal complex. It is required for many meiotic processes, including homolog pairing, recombination, and chromosome segregation at meiosis I."
FBgn0038385,Fbxl7,F-box and leucine-rich repeat protein 7 (Fbxl7) encodes a ubiquitin ligase that regulates Hippo signaling.
FBgn0013334,Sap47,Synapse-associated protein 47kD (Sap47) encodes a conserved protein associated with synaptic vesicles. It is required for intact synaptic and behavioural plasticity.
FBgn0038390,Rbf2,"Retinoblastoma-family protein 2 (Rbf2) encodes a transcriptional repressor belonging to the retinoblastoma family. It is mainly known for its role in repressing cell-cycle genes, but can also attenuate expression of other housekeeping genes, as-well as cell type specific enhancers."
FBgn0022787,Hel89B,Helicase 89B (Hel89B) encodes a protein that belongs to the SNF2 family of chromatin regulators. Hel89B product binds to large number of sites on polytene chromosomes and positively regulates the expression of antimicrobial peptide genes.
FBgn0038391,GATAe,GATAe (GATAe) encodes a endoderm-specific GATA factor. It regulates endoderm differentiation and intestinal stem cell maintenance.
FBgn0003117,pnr,"pannier (pnr) encodes a transcription factor that acts as an activator of proneural achaete-scute complex genes. Its roles include dorsal cell fate determination, nervous system development and lymph gland development."
FBgn0010379,Akt,"Akt kinase (Akt) encodes the core kinase component of the insulin/insulin-like growth factor pathway. It functions downstream of the product of Pi3K92E and is activated by phosphatidylinositol binding and phosphorylation. It regulates cell growth and survival, stress responses and ageing."
FBgn0024222,IKKbeta,I-kappaB kinase beta (IKKbeta) encodes a a component of the IkappaB Kinase (IKK) complex together with the product of key. IKK complex participates in the activation of the transcription factor encoded by Rel in the immune deficiency pathway. This pathway regulates the antibacterial response and other less characterized cellular processes.
FBgn0002783,mor,moira (mor) encodes a member of the trithorax group of homeotic gene regulators. The product of mor is a chromatin remodeling protein and functions as the Swi3 component of the Brahma complex.
FBgn0027657,glob1,globin 1 (glob1) encodes a peroxidase involved in the response to oxidative stress and the maintenance of F-actin based cytoskeleton.
FBgn0040071,tara,"taranis (tara) encodes a transcriptional co-regulator that interacts with chromatin remodeling complexes, cell cycle proteins, and the JNK signaling pathway. It contributes to sleep, neural progenitor proliferation, and cell fate maintenance."
FBgn0038412,Zip89B,Zinc/iron regulated transporter-related protein 89B (Zip89B) encodes a protein involved in zinc detoxification and zinc transmembrane import.
FBgn0040271,Sulf1,"Sulfated (Sulf1) encodes a heparan sulfate modifying enzyme, which extracellularly removes specific 6-O-sulfate groups from heparan sulfate in a post-synthetic manner. It regulates Wg signaling by reducing extracellular wg protein levels. It also regulates Hh signaling by acting as a positive regulator in cells producing the product of hh and a negative regulator in cells receiving the product of hh."
FBgn0024491,Bin1,"Bicoid interacting protein 1 (Bin1) interacts with sequence-specific transcription factors (e.g. the product of bcd, Kr, Trl) to help recruit the Sin3A-HDAC1 histone deacetylase co-repressor complex to target genes. The product of Bin1 contributes to axis patterning and embryonic segmentation via transcription regulation."
FBgn0038402,Fer2,48 related 2 (Fer2) encodes a bHLH-transcription factor required for the development of a subset of circadian pacemaker neurons and dopaminergic neurons in the protocerebral anterior medial (PAM) and the protocerebral anterior lateral clusters. It is also required for the survival of the PAM cluster dopaminergic neurons in adulthood.
FBgn0027095,Manf,"Mesencephalic astrocyte-derived neurotrophic factor (Manf) encodes an evolutionarily conserved neurotrophic factor. It contributes to dopamine neuron survival, regulation of unfolded protein response and retinal repair."
FBgn0027053,CSN5,COP9 signalosome subunit 5 (CSN5) encodes the subunit 5 of the COP9 signalosome (CSN). The CSN plays a central role in the regulation of E3-cullin RING ubiquitin ligases. The product of CSN5 is an isopeptidase that deNEDDylates the cullin subunit of E3-cullin RING ubiquitin ligases.
FBgn0028381,Decay,Death executioner caspase related to Apopain/Yama (Decay) encodes one of the seven members of the caspase family of cysteine proteases. It has substrate specificity similar to the effector caspases encoded by Drice and Dcp-1.
FBgn0044826,Pak3,"Pak3 (Pak3) encodes a Ser/Thr kinase implicated in myoblast fusion, synapse development, wound healing and border cell migration. It functions downstream of the small Rac GTPases to regulate actin cytoskeletal organization."
FBgn0003513,ss,spineless (ss) encodes a protein that plays a key role in defining the distal regions of the antenna and the leg. Its stochastic expression in R7 photoreceptors also controls the expression of color Rhodopsins (the product of Rh4 vs. the product of Rh3) in the two subsets of ommatidia.
FBgn0027109,NPF,"neuropeptide F (NPF) encodes a 36-residue amidated peptide that signals through its receptor NPFR activating an inhibitory G-protein. Major functions of NPF signaling include the regulation of feeding and courtship behavior, metabolism, alcohol sensitivity, aggression as well as learning and memory. It further plays a role in the regulation of circadian behavior, in particular by modifying evening activity and free-running period."
FBgn0003944,Ubx,"Ultrabithorax (Ubx) encodes a homeodomain transcription factor involved in cell fate decisions, cell proliferation and organ identity. Ubx mutants can show a second set of wings due to appendage transformation."
FBgn0051217,modSP,modular serine protease (modSP) encodes a protein that functions downstream of microbial sensing receptors encoded by PGRP-SA and GNBP3 in the extracellular proteolytic cascade leading to Toll pathway activation during the immune response. It initiates the proteolytic cascade leading to the cleavage of the Toll ligand encoded by spz.
FBgn0038465,Irc,Immune-regulated catalase (Irc) encodes a catalase involved in oxidant detoxification.
